cardTotal, count, Alpha(true), Alpha(false), 
4, -17, 53.931825632724326, 46.068174367275674, 
4, -16, 50.0, 50.0, 
4, -14, 57.78342270190136, 42.21657729809864, 
4, -13, 61.549646857296736, 38.450353142703264, 
4, -12, 92.64826024339041, 7.3517397566095894, 
4, -11, 99.15263304397904, 0.8473669560209629, 
4, -10, 100.0, 0.0, 
4, -9, 100.0, 0.0, 
4, -8, 100.0, 0.0, 
4, -7, 100.0, 0.0, 
4, -6, 100.0, 0.0, 
4, -5, 100.0, 0.0, 
4, -4, 100.0, 0.0, 
4, -3, 100.0, 0.0, 
4, -2, 100.0, 0.0, 
4, -1, 100.0, 0.0, 
4, 0, 100.0, 0.0, 
4, 1, 100.0, 0.0, 
4, 2, 100.0, 0.0, 
4, 3, 100.0, 0.0, 
4, 4, 100.0, 0.0, 
4, 5, 100.0, 0.0, 
4, 6, 100.0, 0.0, 
4, 7, 100.0, 0.0, 
4, 8, 100.0, 0.0, 
4, 9, 100.0, 0.0, 
4, 10, 100.0, 0.0, 
4, 11, 100.0, 0.0, 
4, 12, 99.76639440224702, 0.23360559775298384, 
4, 13, 81.96231609741528, 18.037683902584718, 
4, 14, 65.22468985620137, 34.775310143798634, 
4, 15, 68.80194785089488, 31.198052149105123, 
4, 16, 57.78342270190136, 42.21657729809864, 
4, 17, 57.78342270190136, 42.21657729809864, 
4, 18, 53.931825632724326, 46.068174367275674, 
5, -16, 61.549646857296736, 38.450353142703264, 
5, -15, 65.22468985620137, 34.775310143798634, 
5, -14, 75.63166153448881, 24.368338465511187, 
5, -13, 94.77073011463546, 5.229269885364545, 
5, -12, 100.0, 0.0, 
5, -11, 100.0, 0.0, 
5, -10, 100.0, 0.0, 
5, -9, 100.0, 0.0, 
5, -8, 100.0, 0.0, 
5, -7, 100.0, 0.0, 
5, -6, 100.0, 0.0, 
5, -5, 100.0, 0.0, 
5, -4, 100.0, 0.0, 
5, -3, 100.0, 0.0, 
5, -2, 100.0, 0.0, 
5, -1, 100.0, 0.0, 
5, 0, 100.0, 0.0, 
5, 1, 100.0, 0.0, 
5, 2, 100.0, 0.0, 
5, 3, 100.0, 0.0, 
5, 4, 100.0, 0.0, 
5, 5, 100.0, 0.0, 
5, 6, 100.0, 0.0, 
5, 7, 100.0, 0.0, 
5, 8, 100.0, 0.0, 
5, 9, 100.0, 0.0, 
5, 10, 100.0, 0.0, 
5, 11, 100.0, 0.0, 
5, 12, 100.0, 0.0, 
5, 13, 100.0, 0.0, 
5, 14, 100.0, 0.0, 
5, 15, 84.90873647560748, 15.091263524392517, 
5, 16, 84.90873647560748, 15.091263524392517, 
5, 17, 61.549646857296736, 38.450353142703264, 
5, 18, 57.78342270190136, 42.21657729809864, 
5, 19, 50.0, 50.0, 
5, 20, 53.931825632724326, 46.068174367275674, 
6, -18, 53.931825632724326, 46.068174367275674, 
6, -17, 57.78342270190136, 42.21657729809864, 
6, -16, 57.78342270190136, 42.21657729809864, 
6, -15, 68.80194785089488, 31.198052149105123, 
6, -14, 75.63166153448881, 24.368338465511187, 
6, -13, 100.0, 0.0, 
6, -12, 100.0, 0.0, 
6, -11, 100.0, 0.0, 
6, -10, 100.0, 0.0, 
6, -9, 100.0, 0.0, 
6, -8, 100.0, 0.0, 
6, -7, 100.0, 0.0, 
6, -6, 100.0, 0.0, 
6, -5, 100.0, 0.0, 
6, -4, 100.0, 0.0, 
6, -3, 100.0, 0.0, 
6, -2, 100.0, 0.0, 
6, -1, 100.0, 0.0, 
6, 0, 100.0, 0.0, 
6, 1, 100.0, 0.0, 
6, 2, 100.0, 0.0, 
6, 3, 100.0, 0.0, 
6, 4, 100.0, 0.0, 
6, 5, 100.0, 0.0, 
6, 6, 100.0, 0.0, 
6, 7, 100.0, 0.0, 
6, 8, 100.0, 0.0, 
6, 9, 100.0, 0.0, 
6, 10, 100.0, 0.0, 
6, 11, 100.0, 0.0, 
6, 12, 100.0, 0.0, 
6, 13, 100.0, 0.0, 
6, 14, 100.0, 0.0, 
6, 15, 96.59998924720671, 3.4000107527932926, 
6, 16, 96.59998924720671, 3.4000107527932926, 
6, 17, 65.22468985620137, 34.775310143798634, 
6, 18, 72.27385380935169, 27.726146190648308, 
6, 19, 53.931825632724326, 46.068174367275674, 
6, 23, 50.0, 50.0, 
7, -18, 50.0, 50.0, 
7, -16, 53.931825632724326, 46.068174367275674, 
7, -15, 78.86516341385878, 21.13483658614122, 
7, -14, 98.08159623194459, 1.9184037680554127, 
7, -13, 92.64826024339041, 7.3517397566095894, 
7, -12, 100.0, 0.0, 
7, -11, 100.0, 0.0, 
7, -10, 100.0, 0.0, 
7, -9, 100.0, 0.0, 
7, -8, 100.0, 0.0, 
7, -7, 100.0, 0.0, 
7, -6, 100.0, 0.0, 
7, -5, 100.0, 0.0, 
7, -4, 100.0, 0.0, 
7, -3, 100.0, 0.0, 
7, -2, 100.0, 0.0, 
7, -1, 100.0, 0.0, 
7, 0, 100.0, 0.0, 
7, 1, 100.0, 0.0, 
7, 2, 100.0, 0.0, 
7, 3, 100.0, 0.0, 
7, 4, 100.0, 0.0, 
7, 5, 100.0, 0.0, 
7, 6, 100.0, 0.0, 
7, 7, 100.0, 0.0, 
7, 8, 100.0, 0.0, 
7, 9, 100.0, 0.0, 
7, 10, 100.0, 0.0, 
7, 11, 100.0, 0.0, 
7, 12, 100.0, 0.0, 
7, 13, 100.0, 0.0, 
7, 14, 100.0, 0.0, 
7, 15, 100.0, 0.0, 
7, 16, 99.99972434000058, 2.756599994171438E-4, 
7, 17, 75.63166153448881, 24.368338465511187, 
7, 18, 53.931825632724326, 46.068174367275674, 
7, 19, 61.549646857296736, 38.450353142703264, 
7, 20, 53.931825632724326, 46.068174367275674, 
7, 23, 53.931825632724326, 46.068174367275674, 
8, -19, 53.931825632724326, 46.068174367275674, 
8, -18, 50.0, 50.0, 
8, -17, 57.78342270190136, 42.21657729809864, 
8, -16, 57.78342270190136, 42.21657729809864, 
8, -15, 65.22468985620137, 34.775310143798634, 
8, -14, 78.86516341385878, 21.13483658614122, 
8, -13, 96.59998924720671, 3.4000107527932926, 
8, -12, 100.0, 0.0, 
8, -11, 100.0, 0.0, 
8, -10, 100.0, 0.0, 
8, -9, 100.0, 0.0, 
8, -8, 100.0, 0.0, 
8, -7, 100.0, 0.0, 
8, -6, 100.0, 0.0, 
8, -5, 100.0, 0.0, 
8, -4, 100.0, 0.0, 
8, -3, 100.0, 0.0, 
8, -2, 100.0, 0.0, 
8, -1, 100.0, 0.0, 
8, 0, 100.0, 0.0, 
8, 1, 100.0, 0.0, 
8, 2, 100.0, 0.0, 
8, 3, 100.0, 0.0, 
8, 4, 100.0, 0.0, 
8, 5, 100.0, 0.0, 
8, 6, 100.0, 0.0, 
8, 7, 100.0, 0.0, 
8, 8, 100.0, 0.0, 
8, 9, 100.0, 0.0, 
8, 10, 100.0, 0.0, 
8, 11, 100.0, 0.0, 
8, 12, 100.0, 0.0, 
8, 13, 100.0, 0.0, 
8, 14, 100.0, 0.0, 
8, 15, 100.0, 0.0, 
8, 16, 87.68701296208, 12.312987037919996, 
8, 17, 68.80194785089488, 31.198052149105123, 
8, 18, 57.78342270190136, 42.21657729809864, 
8, 19, 61.549646857296736, 38.450353142703264, 
8, 20, 53.931825632724326, 46.068174367275674, 
8, 21, 53.931825632724326, 46.068174367275674, 
8, 22, 53.931825632724326, 46.068174367275674, 
8, 23, 53.931825632724326, 46.068174367275674, 
8, 24, 50.0, 50.0, 
9, -18, 57.78342270190136, 42.21657729809864, 
9, -17, 75.63166153448881, 24.368338465511187, 
9, -16, 75.63166153448881, 24.368338465511187, 
9, -15, 78.86516341385878, 21.13483658614122, 
9, -14, 100.0, 0.0, 
9, -13, 100.0, 0.0, 
9, -12, 100.0, 0.0, 
9, -11, 100.0, 0.0, 
9, -10, 100.0, 0.0, 
9, -9, 100.0, 0.0, 
9, -8, 100.0, 0.0, 
9, -7, 100.0, 0.0, 
9, -6, 100.0, 0.0, 
9, -5, 100.0, 0.0, 
9, -4, 100.0, 0.0, 
9, -3, 100.0, 0.0, 
9, -2, 100.0, 0.0, 
9, -1, 100.0, 0.0, 
9, 0, 100.0, 0.0, 
9, 1, 100.0, 0.0, 
9, 2, 100.0, 0.0, 
9, 3, 100.0, 0.0, 
9, 4, 100.0, 0.0, 
9, 5, 100.0, 0.0, 
9, 6, 100.0, 0.0, 
9, 7, 100.0, 0.0, 
9, 8, 100.0, 0.0, 
9, 9, 100.0, 0.0, 
9, 10, 100.0, 0.0, 
9, 11, 100.0, 0.0, 
9, 12, 100.0, 0.0, 
9, 13, 100.0, 0.0, 
9, 14, 100.0, 0.0, 
9, 15, 100.0, 0.0, 
9, 16, 100.0, 0.0, 
9, 17, 96.59998924720671, 3.4000107527932926, 
9, 18, 75.63166153448881, 24.368338465511187, 
9, 19, 72.27385380935169, 27.726146190648308, 
9, 20, 53.931825632724326, 46.068174367275674, 
9, 21, 53.931825632724326, 46.068174367275674, 
9, 22, 50.0, 50.0, 
10, -19, 50.0, 50.0, 
10, -18, 61.549646857296736, 38.450353142703264, 
10, -17, 57.78342270190136, 42.21657729809864, 
10, -16, 53.931825632724326, 46.068174367275674, 
10, -15, 78.86516341385878, 21.13483658614122, 
10, -14, 100.0, 0.0, 
10, -13, 100.0, 0.0, 
10, -12, 100.0, 0.0, 
10, -11, 100.0, 0.0, 
10, -10, 100.0, 0.0, 
10, -9, 100.0, 0.0, 
10, -8, 100.0, 0.0, 
10, -7, 100.0, 0.0, 
10, -6, 100.0, 0.0, 
10, -5, 100.0, 0.0, 
10, -4, 100.0, 0.0, 
10, -3, 100.0, 0.0, 
10, -2, 100.0, 0.0, 
10, -1, 100.0, 0.0, 
10, 0, 100.0, 0.0, 
10, 1, 100.0, 0.0, 
10, 2, 100.0, 0.0, 
10, 3, 100.0, 0.0, 
10, 4, 100.0, 0.0, 
10, 5, 100.0, 0.0, 
10, 6, 100.0, 0.0, 
10, 7, 100.0, 0.0, 
10, 8, 100.0, 0.0, 
10, 9, 100.0, 0.0, 
10, 10, 100.0, 0.0, 
10, 11, 100.0, 0.0, 
10, 12, 100.0, 0.0, 
10, 13, 100.0, 0.0, 
10, 14, 100.0, 0.0, 
10, 15, 100.0, 0.0, 
10, 16, 100.0, 0.0, 
10, 17, 98.08159623194459, 1.9184037680554127, 
10, 18, 87.68701296208, 12.312987037919996, 
10, 19, 61.549646857296736, 38.450353142703264, 
10, 20, 57.78342270190136, 42.21657729809864, 
11, -19, 50.0, 50.0, 
11, -18, 53.931825632724326, 46.068174367275674, 
11, -17, 61.549646857296736, 38.450353142703264, 
11, -16, 81.96231609741528, 18.037683902584718, 
11, -15, 99.97633566380115, 0.023664336198848446, 
11, -14, 100.0, 0.0, 
11, -13, 100.0, 0.0, 
11, -12, 100.0, 0.0, 
11, -11, 100.0, 0.0, 
11, -10, 100.0, 0.0, 
11, -9, 100.0, 0.0, 
11, -8, 100.0, 0.0, 
11, -7, 100.0, 0.0, 
11, -6, 100.0, 0.0, 
11, -5, 100.0, 0.0, 
11, -4, 100.0, 0.0, 
11, -3, 100.0, 0.0, 
11, -2, 100.0, 0.0, 
11, -1, 100.0, 0.0, 
11, 0, 100.0, 0.0, 
11, 1, 100.0, 0.0, 
11, 2, 100.0, 0.0, 
11, 3, 100.0, 0.0, 
11, 4, 100.0, 0.0, 
11, 5, 100.0, 0.0, 
11, 6, 100.0, 0.0, 
11, 7, 100.0, 0.0, 
11, 8, 100.0, 0.0, 
11, 9, 100.0, 0.0, 
11, 10, 100.0, 0.0, 
11, 11, 100.0, 0.0, 
11, 12, 100.0, 0.0, 
11, 13, 100.0, 0.0, 
11, 14, 100.0, 0.0, 
11, 15, 100.0, 0.0, 
11, 16, 100.0, 0.0, 
11, 17, 100.0, 0.0, 
11, 18, 65.22468985620137, 34.775310143798634, 
11, 19, 68.80194785089488, 31.198052149105123, 
11, 20, 61.549646857296736, 38.450353142703264, 
11, 21, 53.931825632724326, 46.068174367275674, 
11, 22, 50.0, 50.0, 
11, 23, 57.78342270190136, 42.21657729809864, 
12, -22, 53.931825632724326, 46.068174367275674, 
12, -21, 49.92573275029994, 50.07426724970006, 
12, -20, 53.931825632724326, 46.068174367275674, 
12, -19, 50.0, 50.0, 
12, -18, 74.27952224786256, 25.72047775213744, 
12, -17, 99.99841746319747, 0.0015825368025303987, 
12, -16, 86.26853825793019, 13.731461742069811, 
12, -15, 94.78827458453219, 5.211725415467804, 
12, -14, 93.01805942828278, 6.981940571717217, 
12, -13, 97.11031649825564, 2.889683501744358, 
12, -12, 99.92240620732542, 0.07759379267457689, 
12, -11, 99.52075888415882, 0.4792411158411767, 
12, -10, 100.0, 0.0, 
12, -9, 99.14685356284477, 0.8531464371552318, 
12, -8, 99.39741100390494, 0.602588996095065, 
12, -7, 100.0, 0.0, 
12, -6, 100.0, 0.0, 
12, -5, 95.38482457116577, 4.615175428834241, 
12, -4, 93.94524180144397, 6.054758198556032, 
12, -3, 85.65213323376136, 14.347866766238642, 
12, -2, 96.39490168193485, 3.6050983180651457, 
12, -1, 99.08039299715891, 0.9196070028410901, 
12, 0, 92.12558601958607, 7.874413980413934, 
12, 1, 74.86432994774611, 25.13567005225388, 
12, 2, 83.10294110665758, 16.897058893342418, 
12, 3, 81.3490772597909, 18.650922740209097, 
12, 4, 94.71321849574807, 5.286781504251941, 
12, 5, 71.98512192743048, 28.014878072569513, 
12, 6, 85.98229212715125, 14.017707872848746, 
12, 7, 79.68131673325037, 20.31868326674963, 
12, 8, 56.02285930843602, 43.97714069156398, 
12, 9, 60.229279996968664, 39.770720003031336, 
12, 10, 36.403015218175824, 63.596984781824176, 
12, 11, 47.56757813009953, 52.43242186990047, 
12, 12, 84.69035755001917, 15.309642449980823, 
12, 13, 75.2265881287507, 24.773411871249294, 
12, 14, 68.63021763941869, 31.36978236058131, 
12, 15, 58.19523215973632, 41.80476784026368, 
12, 16, 66.61292514911166, 33.38707485088834, 
12, 17, 39.27455832402384, 60.72544167597616, 
12, 18, 54.13500467044861, 45.86499532955139, 
12, 19, 57.4972979150824, 42.5027020849176, 
12, 20, 46.068174367275674, 53.931825632724326, 
12, 21, 46.068174367275674, 53.931825632724326, 
13, -22, 46.068174367275674, 53.931825632724326, 
13, -21, 57.78342270190136, 42.21657729809864, 
13, -20, 49.92573275029994, 50.07426724970006, 
13, -19, 61.549646857296736, 38.450353142703264, 
13, -18, 87.68701296208, 12.312987037919996, 
13, -17, 83.44528016793043, 16.554719832069566, 
13, -16, 87.75820379625476, 12.241796203745238, 
13, -15, 98.46866363310309, 1.5313363668969089, 
13, -14, 99.6951965709843, 0.30480342901570623, 
13, -13, 99.98856924302652, 0.011430756973481948, 
13, -12, 99.99999996188942, 3.811058491010044E-8, 
13, -11, 96.54663138771647, 3.4533686122835263, 
13, -10, 99.39741100464802, 0.6025889953519794, 
13, -9, 88.86931252656963, 11.130687473430374, 
13, -8, 95.31907483315672, 4.680925166843281, 
13, -7, 81.73493904176061, 18.265060958239395, 
13, -6, 89.80421546527069, 10.195784534729313, 
13, -5, 84.09726956115767, 15.902730438842333, 
13, -4, 95.0455280866238, 4.954471913376194, 
13, -3, 90.9060104214552, 9.093989578544797, 
13, -2, 82.97939528434134, 17.020604715658656, 
13, -1, 97.11034253449215, 2.8896574655078524, 
13, 0, 85.0844376134286, 14.915562386571402, 
13, 1, 76.59497897886084, 23.405021021139163, 
13, 2, 98.10811858849287, 1.8918814115071285, 
13, 3, 35.424696084231826, 64.57530391576817, 
13, 4, 55.95454135666339, 44.04545864333661, 
13, 5, 82.57104002421644, 17.42895997578356, 
13, 6, 90.31133218776813, 9.68866781223187, 
13, 7, 70.86759493019734, 29.132405069802658, 
13, 8, 68.02515173964993, 31.974848260350072, 
13, 9, 65.05122052364314, 34.948779476356854, 
13, 10, 72.77306095939615, 27.226939040603853, 
13, 11, 84.38966775988692, 15.610332240113081, 
13, 12, 26.911956166446046, 73.08804383355395, 
13, 13, 24.199053861446828, 75.80094613855317, 
13, 14, 13.642525821832834, 86.35747417816717, 
13, 15, 16.921692641460965, 83.07830735853904, 
13, 16, 48.23233889097045, 51.76766110902955, 
13, 17, 29.26079732711959, 70.73920267288041, 
13, 18, 42.28784363228016, 57.71215636771984, 
13, 19, 42.434129085006646, 57.565870914993354, 
13, 20, 57.78342270190136, 42.21657729809864, 
13, 21, 42.21657729809864, 57.78342270190136, 
13, 22, 46.068174367275674, 53.931825632724326, 
13, 23, 46.068174367275674, 53.931825632724326, 
14, -23, 53.931825632724326, 46.068174367275674, 
14, -21, 61.549646857296736, 38.450353142703264, 
14, -20, 53.931825632724326, 46.068174367275674, 
14, -19, 61.337116431508626, 38.662883568491374, 
14, -18, 53.645068365490914, 46.354931634509086, 
14, -17, 75.20216639490931, 24.797833605090688, 
14, -16, 68.47235007852558, 31.52764992147442, 
14, -15, 82.81917504725219, 17.180824952747813, 
14, -14, 98.21306785329104, 1.7869321467089634, 
14, -13, 89.9678657701757, 10.032134229824294, 
14, -12, 90.63300312623223, 9.366996873767775, 
14, -11, 81.63370467144037, 18.36629532855963, 
14, -10, 89.31856335090274, 10.681436649097268, 
14, -9, 94.82105084098434, 5.178949159015659, 
14, -8, 91.28149785503965, 8.718502144960354, 
14, -7, 74.0173392216993, 25.982660778300698, 
14, -6, 98.47553803406198, 1.5244619659380163, 
